Date,State_Name,District_Name,Pincode,Total_Enrolments,Total_Updates,Age_Group_0_18,Age_Group_19_40,Age_Group_41_60,Age_Group_60_Plus
2023-01-03,West Bengal,West_District_3,623763,6431,1839,1348,2684,1414,985
2023-01-03,Rajasthan,Rajasthan_District_6,298378,5646,1014,1611,2657,1357,21
2023-01-03,Gujarat,Gujarat_District_5,372677,6571,1539,1540,3240,1490,301
2023-01-03,Madhya Pradesh,Madhya_District_3,556512,4766,689,1035,2049,1036,646
2023-01-03,Bihar,Bihar_District_2,466781,3984,464,864,1855,848,417
2023-01-03,Andhra Pradesh,Andhra_District_6,614249,4997,938,1463,2386,1030,118
2023-01-03,Telangana,Telangana_District_5,499803,4557,930,1249,1977,940,391
2023-01-03,Kerala,Kerala_District_1,905575,3491,391,886,1550,729,326
2023-01-03,Odisha,Odisha_District_6,388063,3032,627,734,1297,653,348
2023-01-03,Assam,Assam_District_6,355148,2991,358,600,1205,711,475
2023-01-04,Maharashtra,Maharashtra_District_4,863220,9961,2665,2033,4861,2037,1030
2023-01-04,Uttar Pradesh,Uttar_District_4,110253,15709,4571,3915,6606,3518,1670
2023-01-04,Karnataka,Karnataka_District_3,432810,8020,2388,2322,3834,1713,151
2023-01-04,Tamil Nadu,Tamil_District_4,131856,9597,1220,2097,4182,2096,1222
2023-01-04,Delhi,Delhi_District_6,521216,5382,1192,1290,2371,1339,382
2023-01-04,West Bengal,West_District_6,291907,6953,1430,2031,3181,1698,43
2023-01-04,Rajasthan,Rajasthan_District_6,875526,5379,1589,1535,2537,1247,60
2023-01-04,Gujarat,Gujarat_District_6,258752,6082,658,1657,2897,1447,81
2023-01-04,Madhya Pradesh,Madhya_District_4,113477,5201,1550,1413,2313,1261,214
2023-01-04,Bihar,Bihar_District_6,537645,3627,746,777,1551,885,414
2023-01-04,Andhra Pradesh,Andhra_District_5,880286,5505,815,1145,2290,1329,741
2023-01-04,Telangana,Telangana_District_4,768559,4337,758,1122,1925,960,330
2023-01-04,Kerala,Kerala_District_4,176164,3998,907,1063,1763,932,240
2023-01-04,Odisha,Odisha_District_7,651408,3490,715,781,1655,802,252
2023-01-04,Assam,Assam_District_3,677207,2896,789,749,1215,596,336
2023-01-05,Maharashtra,Maharashtra_District_1,396017,10463,2483,2371,5063,2253,776
2023-01-05,Uttar Pradesh,Uttar_District_6,630858,15534,3074,4424,6390,3436,1284
2023-01-05,Karnataka,Karnataka_District_5,244389,7764,2147,1738,3457,1600,969
2023-01-05,Tamil Nadu,Tamil_District_5,517813,8683,2529,1809,3625,1878,1371
2023-01-05,Delhi,Delhi_District_3,153315,5176,787,1283,2111,1188,594
2023-01-05,West Bengal,West_District_4,538477,6930,937,1794,3086,1630,420
2023-01-05,Rajasthan,Rajasthan_District_3,554870,5554,1279,1140,2224,1209,981
2023-01-05,Gujarat,Gujarat_District_2,226795,6860,913,1508,2831,1636,885
2023-01-05,Madhya Pradesh,Madhya_District_3,479165,5291,1442,1067,2542,1113,569
2023-01-05,Bihar,Bihar_District_3,797226,4178,457,845,1942,887,504
2023-01-05,Andhra Pradesh,Andhra_District_6,687506,5406,1531,1211,2664,1081,450
2023-01-05,Telangana,Telangana_District_7,233366,4861,762,1455,2217,1022,167
2023-01-05,Kerala,Kerala_District_5,640297,3572,473,794,1667,715,396
2023-01-05,Odisha,Odisha_District_7,580339,2942,319,844,1463,608,27
2023-01-05,Assam,Assam_District_3,472793,2784,420,781,1192,673,138
2023-01-06,Maharashtra,Maharashtra_District_7,895180,10599,1797,2145,5191,2214,1049
2023-01-06,Uttar Pradesh,Uttar_District_3,521227,15536,2002,4070,6462,3826,1178
2023-01-06,Karnataka,Karnataka_District_3,862252,8137,2053,1733,3371,1829,1204
2023-01-06,Tamil Nadu,Tamil_District_6,197166,9404,1971,1968,3828,2048,1560
2023-01-06,Delhi,Delhi_District_2,443510,5292,1220,1193,2170,1284,645
2023-01-06,West Bengal,West_District_4,905266,6414,1120,1475,3121,1575,243
2023-01-06,Rajasthan,Rajasthan_District_3,210578,6113,1222,1701,2607,1512,293
2023-01-06,Gujarat,Gujarat_District_3,428965,6297,1482,1881,2947,1395,74
2023-01-06,Madhya Pradesh,Madhya_District_7,161908,5587,1643,1281,2745,1351,210
2023-01-06,Bihar,Bihar_District_7,183360,4371,857,1108,2032,1050,181
2023-01-06,Andhra Pradesh,Andhra_District_7,102442,5676,1003,1613,2445,1266,352
2023-01-06,Telangana,Telangana_District_4,713699,4880,949,1359,2065,1050,406
2023-01-06,Kerala,Kerala_District_2,545367,4049,765,990,1633,997,429
2023-01-06,Odisha,Odisha_District_1,779433,3546,954,726,1763,857,200
2023-01-06,Assam,Assam_District_3,605993,2673,672,792,1266,582,33
2023-01-07,Maharashtra,Maharashtra_District_4,331822,6183,1552,1854,2556,1449,324
2023-01-07,Uttar Pradesh,Uttar_District_4,922887,9682,2565,2189,4229,1943,1321
2023-01-07,Karnataka,Karnataka_District_3,189472,4497,1022,1297,1844,1016,340
2023-01-07,Tamil Nadu,Tamil_District_6,290043,5047,1047,1108,2098,1119,722
2023-01-07,Delhi,Delhi_District_4,888013,3389,482,697,1371,834,487
2023-01-07,West Bengal,West_District_2,225025,4236,820,858,2093,893,392
2023-01-07,Rajasthan,Rajasthan_District_7,566078,3898,463,1005,1834,811,248
2023-01-07,Gujarat,Gujarat_District_1,117106,3496,910,790,1621,814,271
2023-01-07,Madhya Pradesh,Madhya_District_3,495416,2642,288,723,1124,642,153
2023-01-07,Bihar,Bihar_District_1,311251,1969,366,525,809,487,148
2023-01-07,Andhra Pradesh,Andhra_District_1,464958,3563,555,796,1503,809,455
2023-01-07,Telangana,Telangana_District_6,100970,2429,348,528,1183,537,181
2023-01-07,Kerala,Kerala_District_3,755985,2048,570,429,1008,454,157
2023-01-07,Odisha,Odisha_District_1,207768,2442,413,569,1005,537,331
2023-01-07,Assam,Assam_District_5,420120,1350,396,374,627,281,68
2023-01-08,Maharashtra,Maharashtra_District_3,684920,6626,1872,1967,3160,1635,-136
2023-01-08,Uttar Pradesh,Uttar_District_2,209080,8912,1473,2647,3951,1857,457
2023-01-08,Karnataka,Karnataka_District_3,780328,4206,1069,1212,1924,957,113
2023-01-08,Tamil Nadu,Tamil_District_6,701388,5738,1718,1510,2775,1426,27
2023-01-08,Delhi,Delhi_District_5,748872,2673,521,643,1262,650,118
2023-01-08,West Bengal,West_District_6,290903,3860,509,1023,1597,822,418
2023-01-08,Rajasthan,Rajasthan_District_3,292022,3710,944,1098,1796,743,73
2023-01-08,Gujarat,Gujarat_District_7,855277,4332,438,953,2063,896,420
2023-01-08,Madhya Pradesh,Madhya_District_5,528005,2908,833,864,1347,646,51
2023-01-08,Bihar,Bihar_District_3,305702,2818,435,798,1385,665,-30
2023-01-08,Andhra Pradesh,Andhra_District_1,998462,2705,748,771,1222,572,140
2023-01-08,Telangana,Telangana_District_6,529614,2562,268,664,1116,578,204
2023-01-08,Kerala,Kerala_District_4,802886,2463,263,590,1010,554,309
2023-01-08,Odisha,Odisha_District_2,110450,1956,203,441,881,452,182
2023-01-08,Assam,Assam_District_3,625268,1511,432,322,633,358,198
2023-01-09,Maharashtra,Maharashtra_District_7,376755,10782,2650,2608,4323,2257,1594
2023-01-09,Uttar Pradesh,Uttar_District_1,528840,15674,4455,4121,7291,3151,1111
2023-01-09,Karnataka,Karnataka_District_1,269750,8292,1529,2017,3938,2071,266
2023-01-09,Tamil Nadu,Tamil_District_5,804977,8839,971,2052,4099,1866,822
2023-01-09,Delhi,Delhi_District_4,586220,5581,1347,1176,2773,1311,321
2023-01-09,West Bengal,West_District_1,463629,6683,944,1957,2942,1389,395
2023-01-09,Rajasthan,Rajasthan_District_1,718075,5377,1259,1586,2528,1118,145
2023-01-09,Gujarat,Gujarat_District_4,946921,6780,1227,1646,3052,1469,613
2023-01-09,Madhya Pradesh,Madhya_District_1,175857,5069,1064,1394,2324,1065,286
2023-01-09,Bihar,Bihar_District_4,427571,3470,822,982,1597,723,168
2023-01-09,Andhra Pradesh,Andhra_District_2,883585,5483,1152,1237,2213,1308,725
2023-01-09,Telangana,Telangana_District_2,296203,4077,955,918,1926,860,373
2023-01-09,Kerala,Kerala_District_3,931744,4296,1035,1222,1759,884,431
2023-01-09,Odisha,Odisha_District_5,773769,3669,999,1014,1658,864,133
2023-01-09,Assam,Assam_District_7,523813,2195,458,500,1069,497,129
2023-01-10,Maharashtra,Maharashtra_District_2,151416,9916,1483,2803,4451,2449,213
2023-01-10,Uttar Pradesh,Uttar_District_5,252218,15593,4142,3909,7512,3455,717
2023-01-10,Karnataka,Karnataka_District_7,708086,8118,2224,2051,3906,2000,161
2023-01-10,Tamil Nadu,Tamil_District_2,451878,9201,2372,2152,4413,2267,369
2023-01-10,Delhi,Delhi_District_2,290905,5075,1268,1241,2089,1028,717
2023-01-10,West Bengal,West_District_4,364515,6376,1272,1556,3118,1399,303
2023-01-10,Rajasthan,Rajasthan_District_7,954242,6342,661,1324,2983,1467,568
2023-01-10,Gujarat,Gujarat_District_5,156610,6387,1856,1907,3155,1471,-146
2023-01-10,Madhya Pradesh,Madhya_District_1,317358,5445,595,1329,2423,1347,346
2023-01-10,Bihar,Bihar_District_7,285483,4018,1060,865,1895,963,295
2023-01-10,Andhra Pradesh,Andhra_District_7,487510,5088,1406,1404,2410,1250,24
2023-01-10,Telangana,Telangana_District_1,921525,4905,1244,1088,2345,1213,259
2023-01-10,Kerala,Kerala_District_5,581240,3749,810,990,1716,783,260
2023-01-10,Odisha,Odisha_District_1,755959,3159,845,862,1289,730,278
2023-01-10,Assam,Assam_District_1,190703,2346,270,555,1011,522,258
2023-01-11,Maharashtra,Maharashtra_District_7,656628,10817,2038,3036,5138,2418,225
2023-01-11,Uttar Pradesh,Uttar_District_6,442357,15542,3867,3904,7413,3863,362
2023-01-11,Karnataka,Karnataka_District_7,990755,8188,886,1973,3379,1781,1055
2023-01-11,Tamil Nadu,Tamil_District_2,116742,9130,1449,2001,4435,2265,429
2023-01-11,Delhi,Delhi_District_4,870856,5175,541,1168,2167,1236,604
2023-01-11,West Bengal,West_District_4,212290,6631,1524,1362,2996,1458,815
2023-01-11,Rajasthan,Rajasthan_District_6,401377,5762,709,1347,2323,1336,756
2023-01-11,Gujarat,Gujarat_District_1,370310,6530,1243,1508,2965,1406,651
2023-01-11,Madhya Pradesh,Madhya_District_6,323143,5100,960,1128,2227,1118,627
2023-01-11,Bihar,Bihar_District_2,367489,4193,794,1255,1705,965,268
2023-01-11,Andhra Pradesh,Andhra_District_5,419716,5519,1535,1405,2744,1215,155
2023-01-11,Telangana,Telangana_District_7,747052,4844,1206,1140,2398,1165,141
2023-01-11,Kerala,Kerala_District_1,815615,3822,845,1027,1814,852,129
2023-01-11,Odisha,Odisha_District_3,354592,3031,599,851,1325,620,235
2023-01-11,Assam,Assam_District_1,837386,2342,528,618,984,571,169
2023-01-12,Maharashtra,Maharashtra_District_7,878589,10245,2563,2910,4693,2309,333
2023-01-12,Uttar Pradesh,Uttar_District_4,607973,15370,4503,3208,6192,3725,2245
2023-01-12,Karnataka,Karnataka_District_3,878549,7774,2209,2100,3768,1664,242
2023-01-12,Tamil Nadu,Tamil_District_4,412162,9414,2808,2254,4424,2058,678
2023-01-12,Delhi,Delhi_District_6,236923,4861,1286,997,2393,1115,356
2023-01-12,West Bengal,West_District_1,586596,6637,1917,1791,2878,1376,592
2023-01-12,Rajasthan,Rajasthan_District_4,616960,5628,820,1452,2558,1397,221
2023-01-12,Gujarat,Gujarat_District_3,277779,6057,770,1525,2832,1367,333
2023-01-12,Madhya Pradesh,Madhya_District_5,214967,4715,1168,1163,1967,991,594
2023-01-12,Bihar,Bihar_District_3,672349,3629,649,1087,1813,827,-98
2023-01-12,Andhra Pradesh,Andhra_District_1,650827,5538,1542,1500,2264,1201,573
2023-01-12,Telangana,Telangana_District_6,929028,4079,505,1081,1912,909,177
2023-01-12,Kerala,Kerala_District_4,546350,3442,396,835,1675,778,154
2023-01-12,Odisha,Odisha_District_3,868417,3013,331,713,1414,708,178
2023-01-12,Assam,Assam_District_4,589122,2149,317,607,1013,495,34
2023-01-13,Maharashtra,Maharashtra_District_2,964532,10120,2331,2577,4138,2424,981
2023-01-13,Uttar Pradesh,Uttar_District_1,562319,15386,1607,4269,7681,3561,-125
2023-01-13,Karnataka,Karnataka_District_2,862532,7700,1345,1965,3362,1573,800
2023-01-13,Tamil Nadu,Tamil_District_4,161569,8931,2120,2526,4329,1801,275
2023-01-13,Delhi,Delhi_District_7,151024,4913,1156,1411,2201,1072,229
2023-01-13,West Bengal,West_District_3,284858,6183,1642,1241,2878,1372,692
2023-01-13,Rajasthan,Rajasthan_District_2,581980,6290,1623,1421,2718,1286,865
2023-01-13,Gujarat,Gujarat_District_4,115923,6067,1275,1260,2482,1300,1025
2023-01-13,Madhya Pradesh,Madhya_District_1,435958,4836,1366,1021,2200,1187,428
2023-01-13,Bihar,Bihar_District_7,268991,4332,1191,1288,1865,947,232
2023-01-13,Andhra Pradesh,Andhra_District_1,595159,5199,1425,1390,2481,1288,40
2023-01-13,Telangana,Telangana_District_6,927948,4573,1272,924,2165,983,501
2023-01-13,Kerala,Kerala_District_5,629100,3587,573,1013,1482,891,201
2023-01-13,Odisha,Odisha_District_5,950288,3452,433,949,1480,822,201
2023-01-13,Assam,Assam_District_6,281742,2306,626,509,1138,544,115
2023-01-14,Maharashtra,Maharashtra_District_1,495774,5766,993,1535,2758,1237,236
2023-01-14,Uttar Pradesh,Uttar_District_7,172963,9585,1789,2064,3961,2354,1206
2023-01-14,Karnataka,Karnataka_District_7,925125,4300,478,1252,2040,873,135
2023-01-14,Tamil Nadu,Tamil_District_2,980715,5427,1107,1131,2245,1315,736
2023-01-14,Delhi,Delhi_District_5,996211,2744,784,773,1133,565,273
2023-01-14,West Bengal,West_District_1,839517,3565,551,758,1547,719,541
2023-01-14,Rajasthan,Rajasthan_District_3,730916,3288,640,841,1493,763,191
2023-01-14,Gujarat,Gujarat_District_3,303441,3453,434,976,1585,710,182
2023-01-14,Madhya Pradesh,Madhya_District_7,252898,2699,726,800,1323,666,-90
2023-01-14,Bihar,Bihar_District_2,119843,1990,360,517,820,424,229
2023-01-14,Andhra Pradesh,Andhra_District_7,610858,2919,620,668,1173,651,427
2023-01-14,Telangana,Telangana_District_5,356542,2642,417,693,1240,563,146
2023-01-14,Kerala,Kerala_District_6,648785,2500,394,573,1236,536,155
2023-01-14,Odisha,Odisha_District_5,374285,2170,290,484,1017,471,198
2023-01-14,Assam,Assam_District_7,858898,1335,345,327,643,294,71
2023-01-15,Maharashtra,Maharashtra_District_4,578410,5797,1388,1495,2453,1362,487
2023-01-15,Uttar Pradesh,Uttar_District_1,783565,9103,2616,1958,3952,2048,1145
2023-01-15,Karnataka,Karnataka_District_5,343925,4410,716,1178,1799,962,471
2023-01-15,Tamil Nadu,Tamil_District_2,644975,5451,942,1158,2713,1235,345
2023-01-15,Delhi,Delhi_District_6,953616,3532,558,709,1670,773,380
2023-01-15,West Bengal,West_District_1,191473,3941,770,952,1684,856,449
2023-01-15,Rajasthan,Rajasthan_District_7,397960,3408,968,785,1526,682,415
2023-01-15,Gujarat,Gujarat_District_2,476569,3945,1180,947,1938,974,86
2023-01-15,Madhya Pradesh,Madhya_District_5,401487,2696,316,745,1127,661,163
2023-01-15,Bihar,Bihar_District_5,394861,2331,661,526,1090,501,214
2023-01-15,Andhra Pradesh,Andhra_District_2,270355,2636,756,592,1255,636,153
2023-01-15,Telangana,Telangana_District_6,479562,2947,750,634,1218,605,490
2023-01-15,Kerala,Kerala_District_1,343228,2299,671,590,1047,534,128
2023-01-15,Odisha,Odisha_District_5,495069,1751,405,508,838,419,-14
2023-01-15,Assam,Assam_District_3,995317,1663,477,459,805,364,35
2023-01-16,Maharashtra,Maharashtra_District_5,439053,10365,1658,2998,4752,2507,108
2023-01-16,Uttar Pradesh,Uttar_District_7,985028,15345,2896,3535,6339,3358,2113
2023-01-16,Karnataka,Karnataka_District_2,633801,8147,1002,2062,3702,1949,434
2023-01-16,Tamil Nadu,Tamil_District_5,580750,8777,1039,2301,3847,1814,815
2023-01-16,Delhi,Delhi_District_2,125807,5395,957,1433,2496,1136,330
2023-01-16,West Bengal,West_District_3,644258,6688,1385,1399,2783,1557,949
2023-01-16,Rajasthan,Rajasthan_District_4,334171,5886,765,1645,2911,1191,139
2023-01-16,Gujarat,Gujarat_District_6,282012,6410,1681,1698,2888,1363,461
2023-01-16,Madhya Pradesh,Madhya_District_1,454988,5608,1270,1141,2330,1310,827
2023-01-16,Bihar,Bihar_District_4,591183,3507,767,725,1454,832,496
2023-01-16,Andhra Pradesh,Andhra_District_2,848698,5478,1270,1206,2331,1199,742
2023-01-16,Telangana,Telangana_District_7,644554,4845,890,1303,1992,1089,461
2023-01-16,Kerala,Kerala_District_7,469006,4353,446,1180,1766,938,469
2023-01-16,Odisha,Odisha_District_6,256344,3205,806,796,1497,798,114
2023-01-16,Assam,Assam_District_5,491129,3029,588,826,1429,664,110
2023-01-17,Maharashtra,Maharashtra_District_2,642241,10416,2774,2455,4538,2466,957
2023-01-17,Uttar Pradesh,Uttar_District_3,167648,15522,3854,3964,7189,3332,1037
2023-01-17,Karnataka,Karnataka_District_4,532616,7627,1125,1579,3664,1824,560
2023-01-17,Tamil Nadu,Tamil_District_1,742090,9153,1417,2168,3944,1853,1188
2023-01-17,Delhi,Delhi_District_1,364354,4830,1405,1426,2201,1038,165
2023-01-17,West Bengal,West_District_3,578497,6890,1463,1597,3348,1666,279
2023-01-17,Rajasthan,Rajasthan_District_5,160031,5907,1330,1678,2934,1341,-46
2023-01-17,Gujarat,Gujarat_District_7,465730,6800,1748,1469,3313,1488,530
2023-01-17,Madhya Pradesh,Madhya_District_1,805490,5141,1006,1377,2181,1261,322
2023-01-17,Bihar,Bihar_District_1,105527,4222,440,1191,1699,953,379
2023-01-17,Andhra Pradesh,Andhra_District_6,430193,5597,640,1377,2689,1340,191
2023-01-17,Telangana,Telangana_District_4,638770,4084,586,870,2035,1009,170
2023-01-17,Kerala,Kerala_District_2,278868,3934,716,958,1643,969,364
2023-01-17,Odisha,Odisha_District_5,592083,2945,657,711,1378,707,149
2023-01-17,Assam,Assam_District_1,791860,2399,550,514,1009,496,380
2023-01-18,Maharashtra,Maharashtra_District_4,509768,10840,2511,3237,4741,2333,529
2023-01-18,Uttar Pradesh,Uttar_District_2,353618,16034,4333,4768,7014,3998,254
2023-01-18,Karnataka,Karnataka_District_4,948693,8104,1652,1908,3902,1829,465
2023-01-18,Tamil Nadu,Tamil_District_3,440006,8615,1077,2413,4068,1761,373
2023-01-18,Delhi,Delhi_District_4,589707,5163,1014,1156,2505,1063,439
2023-01-18,West Bengal,West_District_6,629986,6487,1157,1916,3157,1564,-150
2023-01-18,Rajasthan,Rajasthan_District_1,824757,5554,1364,1450,2597,1295,212
2023-01-18,Gujarat,Gujarat_District_3,619726,6092,1577,1433,2497,1361,801
2023-01-18,Madhya Pradesh,Madhya_District_2,610072,4799,951,1034,2214,1134,417
2023-01-18,Bihar,Bihar_District_1,973502,4383,770,891,1866,1080,546
2023-01-18,Andhra Pradesh,Andhra_District_2,359724,5229,1184,1046,2305,1228,650
2023-01-18,Telangana,Telangana_District_4,552512,4888,1439,1271,2110,1113,394
2023-01-18,Kerala,Kerala_District_6,415615,3884,867,1034,1623,875,352
2023-01-18,Odisha,Odisha_District_2,997936,2980,393,687,1436,741,116
2023-01-18,Assam,Assam_District_5,648017,2320,626,495,1099,464,262
2023-01-19,Maharashtra,Maharashtra_District_7,705978,10516,1740,2667,4811,2379,659
2023-01-19,Uttar Pradesh,Uttar_District_7,697936,15422,3595,3652,6625,3844,1301
2023-01-19,Karnataka,Karnataka_District_4,736605,7926,1899,1608,3863,1809,646
2023-01-19,Tamil Nadu,Tamil_District_3,359151,9543,2130,2101,4367,2140,935
2023-01-19,Delhi,Delhi_District_2,860092,5577,1451,1327,2640,1158,452
2023-01-19,West Bengal,West_District_2,344390,6938,1266,1607,2792,1423,1116
2023-01-19,Rajasthan,Rajasthan_District_6,549292,5828,1464,1721,2552,1224,331
2023-01-19,Gujarat,Gujarat_District_4,532108,6863,1709,1785,3297,1501,280
2023-01-19,Madhya Pradesh,Madhya_District_1,964750,5351,1418,1266,2282,1281,522
2023-01-19,Bihar,Bihar_District_3,756570,4046,946,987,1648,829,582
2023-01-19,Andhra Pradesh,Andhra_District_6,204722,5636,962,1679,2616,1191,150
2023-01-19,Telangana,Telangana_District_3,205895,4909,848,1466,2420,1099,-76
2023-01-19,Kerala,Kerala_District_1,818147,3949,1122,804,1928,834,383
2023-01-19,Odisha,Odisha_District_6,792434,3372,699,908,1566,729,169
2023-01-19,Assam,Assam_District_7,904475,2495,570,567,1243,623,62
2023-01-20,Maharashtra,Maharashtra_District_7,995718,10759,1761,2760,5052,2429,518
2023-01-20,Uttar Pradesh,Uttar_District_2,694690,16021,4282,3506,7542,3568,1405
2023-01-20,Karnataka,Karnataka_District_7,193677,7461,1711,2073,3549,1663,176
2023-01-20,Tamil Nadu,Tamil_District_5,201903,8617,1045,1877,4244,1784,712
2023-01-20,Delhi,Delhi_District_5,764180,5095,1189,1252,2235,1070,538
2023-01-20,West Bengal,West_District_7,144299,6092,691,1420,2513,1391,768
2023-01-20,Rajasthan,Rajasthan_District_3,735300,5810,932,1502,2820,1238,250
2023-01-20,Gujarat,Gujarat_District_3,865296,6260,1244,1687,2713,1340,520
2023-01-20,Madhya Pradesh,Madhya_District_4,634442,4836,978,1130,2002,1161,543
2023-01-20,Bihar,Bihar_District_3,600170,4209,1057,844,1799,1008,558
2023-01-20,Andhra Pradesh,Andhra_District_5,983018,5350,1182,1074,2635,1159,482
2023-01-20,Telangana,Telangana_District_3,908101,4298,1227,989,1829,950,530
2023-01-20,Kerala,Kerala_District_1,607952,4107,433,1034,1648,1018,407
2023-01-20,Odisha,Odisha_District_4,117684,3252,854,949,1353,683,267
2023-01-20,Assam,Assam_District_3,491232,2571,728,628,1074,543,326
2023-01-21,Maharashtra,Maharashtra_District_5,216468,6317,1622,1564,2633,1469,651
2023-01-21,Uttar Pradesh,Uttar_District_7,160704,9058,1068,1887,3806,1927,1438
2023-01-21,Karnataka,Karnataka_District_7,729340,4856,852,974,1951,1055,876
2023-01-21,Tamil Nadu,Tamil_District_4,884227,5819,1742,1717,2540,1238,324
2023-01-21,Delhi,Delhi_District_2,101976,3466,631,821,1591,776,278
2023-01-21,West Bengal,West_District_7,324657,3671,380,1088,1471,879,233
2023-01-21,Rajasthan,Rajasthan_District_7,774628,3999,699,908,1669,819,603
2023-01-21,Gujarat,Gujarat_District_1,458385,4286,1258,1134,1785,913,454
2023-01-21,Madhya Pradesh,Madhya_District_2,844864,3535,978,994,1655,864,22
2023-01-21,Bihar,Bihar_District_7,944140,2784,290,606,1284,620,274
2023-01-21,Andhra Pradesh,Andhra_District_2,432818,2825,409,775,1318,626,106
2023-01-21,Telangana,Telangana_District_7,725371,2264,579,462,951,481,370
2023-01-21,Kerala,Kerala_District_6,121613,2752,321,748,1229,686,89
2023-01-21,Odisha,Odisha_District_6,758519,1648,263,451,785,367,45
2023-01-21,Assam,Assam_District_5,197291,1734,518,396,856,391,91
2023-01-22,Maharashtra,Maharashtra_District_4,475973,6231,1200,1302,2661,1442,826
2023-01-22,Uttar Pradesh,Uttar_District_2,814722,9852,1391,1993,4168,2009,1682
2023-01-22,Karnataka,Karnataka_District_2,397036,4496,562,1198,2032,1036,230
2023-01-22,Tamil Nadu,Tamil_District_2,250022,5557,1232,1508,2322,1376,351
2023-01-22,Delhi,Delhi_District_4,108597,3498,438,796,1424,815,463
2023-01-22,West Bengal,West_District_5,302328,4328,622,1184,1940,873,331
2023-01-22,Rajasthan,Rajasthan_District_7,343802,3059,504,652,1516,736,155
2023-01-22,Gujarat,Gujarat_District_7,247562,4073,1058,908,1986,861,318
2023-01-22,Madhya Pradesh,Madhya_District_5,182339,3497,703,980,1639,720,158
2023-01-22,Bihar,Bihar_District_1,963083,1859,367,391,843,435,190
2023-01-22,Andhra Pradesh,Andhra_District_4,751036,3174,941,941,1276,744,213
2023-01-22,Telangana,Telangana_District_6,632242,3159,804,853,1500,655,151
2023-01-22,Kerala,Kerala_District_5,995525,2434,424,581,1025,541,287
2023-01-22,Odisha,Odisha_District_3,712626,1693,219,475,808,393,17
2023-01-22,Assam,Assam_District_2,649310,1474,289,440,675,297,62
2023-01-23,Maharashtra,Maharashtra_District_1,799902,10096,1818,2679,4664,2106,647
2023-01-23,Uttar Pradesh,Uttar_District_7,111410,15669,1695,3360,6829,3808,1672
2023-01-23,Karnataka,Karnataka_District_4,963163,8249,1776,2291,3939,1731,288
