date,state,district,pincode,enrolment_count,update_count,age_0_18,age_19_40,age_41_60,age_60_plus,source_file
2023-01-01,Jharkhand,JharkhandDistrict,152898,12877,1554,3387,6052,2787,651,sample_data.csv
2023-01-01,Uttarakhand,UttarakhandDistrict,144491,6611,664,1507,2972,1571,561,sample_data.csv
2023-01-02,Maharashtra,MaharashtraDistrict,309404,22585,2772,4800,10094,5158,2533,sample_data.csv
2023-01-02,Uttar Pradesh,Uttar PradeshDistrict,782760,21394,3342,4916,9840,4632,2006,sample_data.csv
2023-01-02,Karnataka,KarnatakaDistrict,826566,17758,3540,3723,8800,3945,1290,sample_data.csv
2023-01-02,Tamil Nadu,Tamil NaduDistrict,496991,23750,2620,6781,11611,5259,99,sample_data.csv
2023-01-02,Delhi,DelhiDistrict,436515,15953,2927,4013,7318,3783,839,sample_data.csv
2023-01-02,West Bengal,West BengalDistrict,454579,10557,1219,2628,4495,2184,1250,sample_data.csv
2023-01-02,Rajasthan,RajasthanDistrict,809629,9960,1169,2953,4373,2030,604,sample_data.csv
2023-01-02,Gujarat,GujaratDistrict,644453,18410,2963,4441,7878,3725,2366,sample_data.csv
2023-01-02,Madhya Pradesh,Madhya PradeshDistrict,934272,22737,3882,5246,10276,5678,1537,sample_data.csv
2023-01-02,Bihar,BiharDistrict,444903,15363,2012,4401,6727,3390,845,sample_data.csv
2023-01-02,Andhra Pradesh,Andhra PradeshDistrict,766765,19143,3667,5582,9284,4061,216,sample_data.csv
2023-01-02,Telangana,TelanganaDistrict,586950,11146,1370,2457,5485,2687,517,sample_data.csv
2023-01-02,Kerala,KeralaDistrict,301596,7428,1253,1632,2973,1747,1076,sample_data.csv
2023-01-02,Odisha,OdishaDistrict,304595,25294,4879,6646,12469,6275,0,sample_data.csv
2023-01-02,Assam,AssamDistrict,582741,17403,2374,4419,7056,4204,1724,sample_data.csv
2023-01-02,Punjab,PunjabDistrict,145384,19329,2303,4358,8292,3916,2763,sample_data.csv
2023-01-02,Chhattisgarh,ChhattisgarhDistrict,127483,25619,4744,7604,10266,6339,1410,sample_data.csv
2023-01-02,Haryana,HaryanaDistrict,956817,22048,2755,5124,8866,5090,2968,sample_data.csv
2023-01-02,Jharkhand,JharkhandDistrict,278344,25710,4889,7088,10987,6297,1338,sample_data.csv
2023-01-02,Uttarakhand,UttarakhandDistrict,540006,8021,1534,1641,3434,1843,1103,sample_data.csv
2023-01-03,Maharashtra,MaharashtraDistrict,450545,29310,4026,6582,11992,6758,3978,sample_data.csv
2023-01-03,Uttar Pradesh,Uttar PradeshDistrict,504748,26831,3365,6308,13191,6629,703,sample_data.csv
2023-01-03,Karnataka,KarnatakaDistrict,618119,18846,2301,4314,8700,4357,1475,sample_data.csv
2023-01-03,Tamil Nadu,Tamil NaduDistrict,556404,16466,2428,3636,8185,3996,649,sample_data.csv
2023-01-03,Delhi,DelhiDistrict,183552,14028,1663,3124,6966,3257,681,sample_data.csv
2023-01-03,West Bengal,West BengalDistrict,312035,14128,1554,3996,6644,2858,630,sample_data.csv
2023-01-03,Rajasthan,RajasthanDistrict,696699,9458,1151,2162,4418,2014,864,sample_data.csv
2023-01-03,Gujarat,GujaratDistrict,344475,15503,2256,3502,7484,3666,851,sample_data.csv
2023-01-03,Madhya Pradesh,Madhya PradeshDistrict,290470,9373,1661,2484,4170,2043,676,sample_data.csv
2023-01-03,Bihar,BiharDistrict,542402,8390,1637,2381,3580,1737,692,sample_data.csv
2023-01-03,Andhra Pradesh,Andhra PradeshDistrict,459428,20189,2353,5694,8418,4339,1738,sample_data.csv
2023-01-03,Telangana,TelanganaDistrict,742150,13631,2180,3917,6381,3031,302,sample_data.csv
2023-01-03,Kerala,KeralaDistrict,945271,17508,1820,4072,8187,3797,1452,sample_data.csv
2023-01-03,Odisha,OdishaDistrict,531500,18661,2239,5523,8782,3783,573,sample_data.csv
2023-01-03,Assam,AssamDistrict,393579,18227,2260,4948,7675,3781,1823,sample_data.csv
2023-01-03,Punjab,PunjabDistrict,972169,18653,3265,3846,8800,3905,2102,sample_data.csv
2023-01-03,Chhattisgarh,ChhattisgarhDistrict,345094,23973,3793,5557,10475,5983,1958,sample_data.csv
2023-01-03,Haryana,HaryanaDistrict,245104,19520,2498,5236,9170,4012,1102,sample_data.csv
2023-01-03,Jharkhand,JharkhandDistrict,271617,12950,2477,3859,5189,2656,1246,sample_data.csv
2023-01-03,Uttarakhand,UttarakhandDistrict,815649,12767,1836,3072,6364,2660,671,sample_data.csv
2023-01-04,Maharashtra,MaharashtraDistrict,120566,20127,2139,5375,8132,4270,2350,sample_data.csv
2023-01-04,Uttar Pradesh,Uttar PradeshDistrict,412579,15370,2364,3843,7176,3801,550,sample_data.csv
2023-01-04,Karnataka,KarnatakaDistrict,373953,25215,3473,5481,12485,6207,1042,sample_data.csv
2023-01-04,Tamil Nadu,Tamil NaduDistrict,814348,24558,4065,5677,11304,5572,2005,sample_data.csv
2023-01-04,Delhi,DelhiDistrict,785098,30265,5877,8541,14103,6449,1172,sample_data.csv
2023-01-04,West Bengal,West BengalDistrict,645971,8630,1534,1874,3807,1909,1040,sample_data.csv
2023-01-04,Rajasthan,RajasthanDistrict,209976,20034,3623,5368,9717,4189,760,sample_data.csv
2023-01-04,Gujarat,GujaratDistrict,372421,8026,1066,2176,3795,1675,380,sample_data.csv
2023-01-04,Madhya Pradesh,Madhya PradeshDistrict,722703,22688,3753,4963,9986,4827,2912,sample_data.csv
2023-01-04,Bihar,BiharDistrict,104626,20809,4055,5870,9413,4847,679,sample_data.csv
2023-01-04,Andhra Pradesh,Andhra PradeshDistrict,231385,20800,3021,6234,9705,4338,523,sample_data.csv
2023-01-04,Telangana,TelanganaDistrict,237704,14612,1773,4015,5863,3207,1527,sample_data.csv
2023-01-04,Kerala,KeralaDistrict,877435,17343,3417,5077,7999,4313,0,sample_data.csv
2023-01-04,Odisha,OdishaDistrict,612919,7290,1001,1730,3116,1682,762,sample_data.csv
2023-01-04,Assam,AssamDistrict,807863,25313,3333,7521,11288,6104,400,sample_data.csv
2023-01-04,Punjab,PunjabDistrict,872318,21128,2743,4306,8778,4823,3221,sample_data.csv
2023-01-04,Chhattisgarh,ChhattisgarhDistrict,562230,11534,2171,2425,5129,2531,1449,sample_data.csv
2023-01-04,Haryana,HaryanaDistrict,992390,7113,1374,1801,2881,1568,863,sample_data.csv
2023-01-04,Jharkhand,JharkhandDistrict,585371,6927,750,1567,3367,1621,372,sample_data.csv
2023-01-04,Uttarakhand,UttarakhandDistrict,603684,18149,2154,4413,7349,4059,2328,sample_data.csv
2023-01-05,Maharashtra,MaharashtraDistrict,471252,14158,2392,3153,6888,3294,823,sample_data.csv
2023-01-05,Uttar Pradesh,Uttar PradeshDistrict,887021,12954,1892,3622,6041,2606,685,sample_data.csv
2023-01-05,Karnataka,KarnatakaDistrict,199362,12259,2251,3382,5372,2770,735,sample_data.csv
2023-01-05,Tamil Nadu,Tamil NaduDistrict,787370,16786,3323,4491,8315,4008,0,sample_data.csv
2023-01-05,Delhi,DelhiDistrict,868150,13171,1888,3114,5412,2762,1883,sample_data.csv
2023-01-05,West Bengal,West BengalDistrict,216755,17201,2616,3907,7546,4238,1510,sample_data.csv
2023-01-05,Rajasthan,RajasthanDistrict,901831,21807,2570,5158,9141,4503,3005,sample_data.csv
2023-01-05,Gujarat,GujaratDistrict,828033,24883,4055,7148,10694,6124,917,sample_data.csv
2023-01-05,Madhya Pradesh,Madhya PradeshDistrict,226054,11352,1497,3388,5641,2618,0,sample_data.csv
2023-01-05,Bihar,BiharDistrict,171516,9926,1971,2654,4488,2374,410,sample_data.csv
2023-01-05,Andhra Pradesh,Andhra PradeshDistrict,569641,8136,1207,2032,3567,1631,906,sample_data.csv
2023-01-05,Telangana,TelanganaDistrict,707104,7575,841,2099,3446,1575,455,sample_data.csv
2023-01-05,Kerala,KeralaDistrict,948425,14675,1797,4232,6133,2943,1367,sample_data.csv
2023-01-05,Odisha,OdishaDistrict,126058,7105,992,1902,3500,1633,70,sample_data.csv
2023-01-05,Assam,AssamDistrict,109518,11823,1781,2735,5182,2449,1457,sample_data.csv
2023-01-05,Punjab,PunjabDistrict,637245,16082,1973,4179,7986,3231,686,sample_data.csv
2023-01-05,Chhattisgarh,ChhattisgarhDistrict,823637,17903,1956,3875,8172,3637,2219,sample_data.csv
2023-01-05,Haryana,HaryanaDistrict,725913,19046,2990,5013,8708,4628,697,sample_data.csv
2023-01-05,Jharkhand,JharkhandDistrict,282192,18327,3373,4086,7503,4445,2293,sample_data.csv
2023-01-05,Uttarakhand,UttarakhandDistrict,284058,14344,2061,3766,5860,3421,1297,sample_data.csv
2023-01-06,Maharashtra,MaharashtraDistrict,430961,22101,2477,5666,10473,5362,600,sample_data.csv
2023-01-06,Uttar Pradesh,Uttar PradeshDistrict,445518,35322,5325,7256,17005,7171,3890,sample_data.csv
2023-01-06,Karnataka,KarnatakaDistrict,576300,12546,1701,3450,6223,2518,355,sample_data.csv
2023-01-06,Tamil Nadu,Tamil NaduDistrict,837032,17262,2280,3513,8264,3946,1539,sample_data.csv
2023-01-06,Delhi,DelhiDistrict,509194,30657,4447,9030,12358,6199,3070,sample_data.csv
2023-01-06,West Bengal,West BengalDistrict,312805,18564,2983,3740,8120,4544,2160,sample_data.csv
2023-01-06,Rajasthan,RajasthanDistrict,757627,11272,1370,3378,4666,2631,597,sample_data.csv
2023-01-06,Gujarat,GujaratDistrict,833328,15550,2513,3821,7611,3865,253,sample_data.csv
2023-01-06,Madhya Pradesh,Madhya PradeshDistrict,178478,19247,3522,5143,9201,3914,989,sample_data.csv
2023-01-06,Bihar,BiharDistrict,256417,8836,1379,1908,4203,1957,768,sample_data.csv
2023-01-06,Andhra Pradesh,Andhra PradeshDistrict,146787,9843,1477,2208,4091,2171,1373,sample_data.csv
2023-01-06,Telangana,TelanganaDistrict,345023,16689,3068,4503,8275,3593,318,sample_data.csv
2023-01-06,Kerala,KeralaDistrict,606638,20554,2472,4793,9302,4982,1477,sample_data.csv
2023-01-06,Odisha,OdishaDistrict,834113,15441,2444,3399,7294,3792,956,sample_data.csv
2023-01-06,Assam,AssamDistrict,585415,14807,2879,3360,6125,3080,2242,sample_data.csv
2023-01-06,Punjab,PunjabDistrict,659604,18444,3558,4256,8341,4490,1357,sample_data.csv
2023-01-06,Chhattisgarh,ChhattisgarhDistrict,711832,10063,1600,2286,4635,2143,999,sample_data.csv
2023-01-06,Haryana,HaryanaDistrict,278799,18185,2002,5258,7848,4352,727,sample_data.csv
2023-01-06,Jharkhand,JharkhandDistrict,133585,11765,2287,2381,5624,2517,1243,sample_data.csv
2023-01-06,Uttarakhand,UttarakhandDistrict,192834,17262,2394,3742,7214,3506,2800,sample_data.csv
2023-01-07,Maharashtra,MaharashtraDistrict,607027,12949,1700,3690,5679,3107,473,sample_data.csv
2023-01-07,Uttar Pradesh,Uttar PradeshDistrict,356244,9612,1869,2170,3999,2099,1344,sample_data.csv
2023-01-07,Karnataka,KarnatakaDistrict,305997,13348,1553,3950,5703,3139,556,sample_data.csv
2023-01-07,Tamil Nadu,Tamil NaduDistrict,942763,5664,752,1430,2559,1143,532,sample_data.csv
2023-01-07,Delhi,DelhiDistrict,320045,12958,2286,3065,5414,2885,1594,sample_data.csv
2023-01-07,West Bengal,West BengalDistrict,361543,4504,480,1238,2122,1099,45,sample_data.csv
2023-01-07,Rajasthan,RajasthanDistrict,968920,9972,1840,2539,3997,2209,1227,sample_data.csv
2023-01-07,Gujarat,GujaratDistrict,283342,9462,1150,2826,4586,1927,123,sample_data.csv
2023-01-07,Madhya Pradesh,Madhya PradeshDistrict,278280,9946,1082,2472,4785,2254,435,sample_data.csv
2023-01-07,Bihar,BiharDistrict,644949,8456,848,2342,3595,1715,804,sample_data.csv
2023-01-07,Andhra Pradesh,Andhra PradeshDistrict,434570,6867,894,1396,3366,1605,500,sample_data.csv
2023-01-07,Telangana,TelanganaDistrict,638092,9854,1401,2093,4282,2302,1177,sample_data.csv
2023-01-07,Kerala,KeralaDistrict,282619,10845,1190,3089,4780,2231,745,sample_data.csv
2023-01-07,Odisha,OdishaDistrict,147369,10835,1146,2450,4687,2309,1389,sample_data.csv
2023-01-07,Assam,AssamDistrict,700731,4703,570,1349,2120,1145,89,sample_data.csv
2023-01-07,Punjab,PunjabDistrict,807387,5944,810,1478,2803,1246,417,sample_data.csv
2023-01-07,Chhattisgarh,ChhattisgarhDistrict,363848,6579,1043,1403,2918,1438,820,sample_data.csv
2023-01-07,Haryana,HaryanaDistrict,661075,9167,1330,2442,3953,1844,928,sample_data.csv
2023-01-07,Jharkhand,JharkhandDistrict,709136,9547,989,2295,4132,2314,806,sample_data.csv
2023-01-07,Uttarakhand,UttarakhandDistrict,971689,4664,606,1083,1876,967,738,sample_data.csv
2023-01-08,Maharashtra,MaharashtraDistrict,738456,13725,1951,3810,6660,3399,0,sample_data.csv
2023-01-08,Uttar Pradesh,Uttar PradeshDistrict,747510,17424,2854,3632,7233,3682,2877,sample_data.csv
2023-01-08,Karnataka,KarnatakaDistrict,166101,18608,2292,3770,7860,4384,2594,sample_data.csv
2023-01-08,Tamil Nadu,Tamil NaduDistrict,449227,10440,1242,2572,4446,2326,1096,sample_data.csv
2023-01-08,Delhi,DelhiDistrict,935676,7950,925,1792,3404,1658,1096,sample_data.csv
2023-01-08,West Bengal,West BengalDistrict,290340,12741,2316,3793,5878,2816,254,sample_data.csv
2023-01-08,Rajasthan,RajasthanDistrict,583957,8607,949,1742,3770,2082,1013,sample_data.csv
2023-01-08,Gujarat,GujaratDistrict,255999,15217,2984,3255,6409,3444,2109,sample_data.csv
2023-01-08,Madhya Pradesh,Madhya PradeshDistrict,164666,4629,788,948,2252,1099,330,sample_data.csv
2023-01-08,Bihar,BiharDistrict,248860,14040,2040,3750,6434,3009,847,sample_data.csv
2023-01-08,Andhra Pradesh,Andhra PradeshDistrict,475823,12247,2222,2514,5946,2643,1144,sample_data.csv
2023-01-08,Telangana,TelanganaDistrict,281504,4186,725,1094,1893,942,257,sample_data.csv
2023-01-08,Kerala,KeralaDistrict,566742,11651,1352,3050,5181,2555,865,sample_data.csv
2023-01-08,Odisha,OdishaDistrict,123242,7035,1370,1470,3040,1574,951,sample_data.csv
2023-01-08,Assam,AssamDistrict,955491,10702,1580,2183,4853,2358,1308,sample_data.csv
2023-01-08,Punjab,PunjabDistrict,516404,8723,1673,2303,4044,2013,363,sample_data.csv
2023-01-08,Chhattisgarh,ChhattisgarhDistrict,576797,13049,1690,2983,6519,3082,465,sample_data.csv
2023-01-08,Haryana,HaryanaDistrict,957625,14482,2765,3549,7240,3508,185,sample_data.csv
2023-01-08,Jharkhand,JharkhandDistrict,382887,15570,2567,3761,6391,3580,1838,sample_data.csv
2023-01-08,Uttarakhand,UttarakhandDistrict,295995,9376,1080,2664,3925,1990,797,sample_data.csv
2023-01-09,Maharashtra,MaharashtraDistrict,757272,11104,1324,2617,5187,2454,846,sample_data.csv
2023-01-09,Uttar Pradesh,Uttar PradeshDistrict,152521,17564,2144,4580,7488,3725,1771,sample_data.csv
2023-01-09,Karnataka,KarnatakaDistrict,471180,24026,4792,4853,11944,5620,1609,sample_data.csv
2023-01-09,Tamil Nadu,Tamil NaduDistrict,378106,24193,4057,6340,9684,6016,2153,sample_data.csv
2023-01-09,Delhi,DelhiDistrict,547420,16745,2973,3476,7119,4150,2000,sample_data.csv
2023-01-09,West Bengal,West BengalDistrict,488764,9438,1102,2631,4563,2085,159,sample_data.csv
2023-01-09,Rajasthan,RajasthanDistrict,528514,20719,2900,5205,9488,4445,1581,sample_data.csv
2023-01-09,Gujarat,GujaratDistrict,861093,20345,2903,4394,8139,4104,3708,sample_data.csv
2023-01-09,Madhya Pradesh,Madhya PradeshDistrict,921046,24346,4233,4997,11176,5013,3160,sample_data.csv
2023-01-09,Bihar,BiharDistrict,866623,8022,862,2264,3429,1910,419,sample_data.csv
2023-01-09,Andhra Pradesh,Andhra PradeshDistrict,697423,6813,1087,1939,2819,1506,549,sample_data.csv
2023-01-09,Telangana,TelanganaDistrict,503087,21433,3707,6303,10019,4355,756,sample_data.csv
2023-01-09,Kerala,KeralaDistrict,665878,16716,2378,4269,7260,3387,1800,sample_data.csv
2023-01-09,Odisha,OdishaDistrict,323022,13637,2161,3151,5924,3318,1244,sample_data.csv
2023-01-09,Assam,AssamDistrict,297577,17643,2889,3552,8583,3796,1712,sample_data.csv
2023-01-09,Punjab,PunjabDistrict,710046,12359,2376,3194,6158,3035,0,sample_data.csv
2023-01-09,Chhattisgarh,ChhattisgarhDistrict,102132,9236,1185,2251,4484,2227,274,sample_data.csv
2023-01-09,Haryana,HaryanaDistrict,512361,8422,1648,1959,3685,1859,919,sample_data.csv
2023-01-09,Jharkhand,JharkhandDistrict,797935,14648,1727,3311,7031,3263,1043,sample_data.csv
2023-01-09,Uttarakhand,UttarakhandDistrict,141679,17872,3041,4404,8295,3634,1539,sample_data.csv
2023-01-10,Maharashtra,MaharashtraDistrict,118063,30639,4039,6839,12472,6338,4990,sample_data.csv
2023-01-10,Uttar Pradesh,Uttar PradeshDistrict,506513,28280,4204,7378,11815,6623,2464,sample_data.csv
2023-01-10,Karnataka,KarnatakaDistrict,825725,30925,4304,6392,13209,6397,4927,sample_data.csv
2023-01-10,Tamil Nadu,Tamil NaduDistrict,886008,30194,4725,6511,12570,7455,3658,sample_data.csv
2023-01-10,Delhi,DelhiDistrict,909613,27407,4545,7885,11638,6476,1408,sample_data.csv
2023-01-10,West Bengal,West BengalDistrict,210859,24362,3305,6963,10521,5149,1729,sample_data.csv
2023-01-10,Rajasthan,RajasthanDistrict,347600,12249,1506,2763,6046,2551,889,sample_data.csv
2023-01-10,Gujarat,GujaratDistrict,596186,23314,4165,6448,11061,5068,737,sample_data.csv
2023-01-10,Madhya Pradesh,Madhya PradeshDistrict,274295,23783,4464,7030,11607,4901,245,sample_data.csv
2023-01-10,Bihar,BiharDistrict,595506,14194,2759,3905,5686,3275,1328,sample_data.csv
2023-01-10,Andhra Pradesh,Andhra PradeshDistrict,997927,6877,1067,1989,3223,1551,114,sample_data.csv
2023-01-10,Telangana,TelanganaDistrict,494578,15795,2772,4269,7596,3653,277,sample_data.csv
2023-01-10,Kerala,KeralaDistrict,493988,11784,2169,2401,4875,2856,1652,sample_data.csv
2023-01-10,Odisha,OdishaDistrict,738145,9500,1834,2706,4488,2233,73,sample_data.csv
2023-01-10,Assam,AssamDistrict,104373,19233,2670,4122,9255,3924,1932,sample_data.csv
2023-01-10,Punjab,PunjabDistrict,894847,21871,2983,5408,8978,5075,2410,sample_data.csv
2023-01-10,Chhattisgarh,ChhattisgarhDistrict,787749,19552,2687,5557,8137,4541,1317,sample_data.csv
2023-01-10,Haryana,HaryanaDistrict,656566,25350,4564,6025,10724,5370,3231,sample_data.csv
2023-01-10,Jharkhand,JharkhandDistrict,775915,17791,1838,4889,8680,4394,0,sample_data.csv
2023-01-10,Uttarakhand,UttarakhandDistrict,131577,20160,2402,5309,9466,4619,766,sample_data.csv
2023-01-11,Maharashtra,MaharashtraDistrict,721338,21148,2679,5319,9875,4366,1588,sample_data.csv
2023-01-11,Uttar Pradesh,Uttar PradeshDistrict,403004,27388,4140,5523,13156,6384,2325,sample_data.csv
2023-01-11,Karnataka,KarnatakaDistrict,473553,24651,3205,6368,11862,5473,948,sample_data.csv
2023-01-11,Tamil Nadu,Tamil NaduDistrict,454468,15133,1937,4488,6856,3067,722,sample_data.csv
2023-01-11,Delhi,DelhiDistrict,375912,14835,2402,4134,6596,3105,1000,sample_data.csv
2023-01-11,West Bengal,West BengalDistrict,780671,14908,1635,3562,6433,3308,1605,sample_data.csv
2023-01-11,Rajasthan,RajasthanDistrict,714401,23253,3076,4932,11165,5672,1484,sample_data.csv
2023-01-11,Gujarat,GujaratDistrict,829433,16890,2577,4786,7356,4137,611,sample_data.csv
2023-01-11,Madhya Pradesh,Madhya PradeshDistrict,549727,19787,2000,5174,9281,4227,1105,sample_data.csv
2023-01-11,Bihar,BiharDistrict,435122,25382,4029,5512,10591,6032,3247,sample_data.csv
2023-01-11,Andhra Pradesh,Andhra PradeshDistrict,941909,11070,1224,2369,4912,2477,1312,sample_data.csv
2023-01-11,Telangana,TelanganaDistrict,728865,9692,1153,2516,3916,2114,1146,sample_data.csv
2023-01-11,Kerala,KeralaDistrict,479706,18067,3593,5383,8965,3778,0,sample_data.csv
2023-01-11,Odisha,OdishaDistrict,183484,20443,3355,5499,9724,4096,1124,sample_data.csv
2023-01-11,Assam,AssamDistrict,872413,19284,2417,3948,8932,4118,2286,sample_data.csv
2023-01-11,Punjab,PunjabDistrict,724819,7736,926,2240,3541,1854,101,sample_data.csv
2023-01-11,Chhattisgarh,ChhattisgarhDistrict,783463,9670,1199,1944,4394,2156,1176,sample_data.csv
2023-01-11,Haryana,HaryanaDistrict,487984,9246,1753,2478,3971,2176,621,sample_data.csv
2023-01-11,Jharkhand,JharkhandDistrict,697197,12351,1705,3385,5254,2505,1207,sample_data.csv
2023-01-11,Uttarakhand,UttarakhandDistrict,497842,20706,2718,5967,8369,4844,1526,sample_data.csv
2023-01-12,Maharashtra,MaharashtraDistrict,987009,33777,3516,9365,14166,7392,2854,sample_data.csv
2023-01-12,Uttar Pradesh,Uttar PradeshDistrict,768905,34507,4613,7373,14349,7649,5136,sample_data.csv
2023-01-12,Karnataka,KarnatakaDistrict,791681,27884,4607,7726,12675,6758,725,sample_data.csv
2023-01-12,Tamil Nadu,Tamil NaduDistrict,946730,12738,1610,3312,5342,2669,1415,sample_data.csv
2023-01-12,Delhi,DelhiDistrict,214300,12971,2138,3408,5928,2916,719,sample_data.csv
2023-01-12,West Bengal,West BengalDistrict,872159,22594,3390,5355,10646,4618,1975,sample_data.csv
2023-01-12,Rajasthan,RajasthanDistrict,233568,20781,2216,5397,9311,4215,1858,sample_data.csv
2023-01-12,Gujarat,GujaratDistrict,648965,12691,1524,2948,5412,2704,1627,sample_data.csv
2023-01-12,Madhya Pradesh,Madhya PradeshDistrict,426471,15600,3007,4462,6987,3158,993,sample_data.csv
2023-01-12,Bihar,BiharDistrict,860318,11646,1466,2508,5498,2727,913,sample_data.csv
2023-01-12,Andhra Pradesh,Andhra PradeshDistrict,595764,16816,2775,4786,7599,4024,407,sample_data.csv
2023-01-12,Telangana,TelanganaDistrict,732487,8303,1420,2034,4082,1878,309,sample_data.csv
2023-01-12,Kerala,KeralaDistrict,247991,8638,980,2006,3639,1880,1113,sample_data.csv
2023-01-12,Odisha,OdishaDistrict,692853,13874,2382,3867,6571,3242,194,sample_data.csv
2023-01-12,Assam,AssamDistrict,212593,8049,1386,1796,3804,1978,471,sample_data.csv
2023-01-12,Punjab,PunjabDistrict,792086,21687,3292,5043,10041,4778,1825,sample_data.csv
2023-01-12,Chhattisgarh,ChhattisgarhDistrict,589213,20356,2450,4083,9398,4318,2557,sample_data.csv
2023-01-12,Haryana,HaryanaDistrict,186903,20446,2062,5198,9225,4574,1449,sample_data.csv
2023-01-12,Jharkhand,JharkhandDistrict,986517,20086,2462,4869,9855,4158,1204,sample_data.csv
2023-01-12,Uttarakhand,UttarakhandDistrict,871616,21739,3285,5113,9215,4841,2570,sample_data.csv
2023-01-13,Maharashtra,MaharashtraDistrict,693859,32086,6026,9349,14245,7797,695,sample_data.csv
2023-01-13,Uttar Pradesh,Uttar PradeshDistrict,937415,31253,5500,7748,12973,6632,3900,sample_data.csv
2023-01-13,Karnataka,KarnatakaDistrict,237684,12127,2341,3086,5063,2769,1209,sample_data.csv
2023-01-13,Tamil Nadu,Tamil NaduDistrict,986938,24934,3531,5923,11072,5544,2395,sample_data.csv
2023-01-13,Delhi,DelhiDistrict,431168,13813,2352,3696,6218,3363,536,sample_data.csv
2023-01-13,West Bengal,West BengalDistrict,641803,17967,1819,4833,8643,4437,54,sample_data.csv
2023-01-13,Rajasthan,RajasthanDistrict,847795,19575,3839,5413,8674,4489,999,sample_data.csv
2023-01-13,Gujarat,GujaratDistrict,331702,9205,1590,2663,3768,2043,731,sample_data.csv
2023-01-13,Madhya Pradesh,Madhya PradeshDistrict,392332,10419,1236,2789,5120,2219,291,sample_data.csv
2023-01-13,Bihar,BiharDistrict,261147,24020,2715,5843,11993,5605,579,sample_data.csv
2023-01-13,Andhra Pradesh,Andhra PradeshDistrict,688508,24139,2899,6401,11111,4909,1718,sample_data.csv
2023-01-13,Telangana,TelanganaDistrict,111908,21195,2234,6183,8854,5123,1035,sample_data.csv
2023-01-13,Kerala,KeralaDistrict,883470,7965,960,1690,3200,1954,1121,sample_data.csv
2023-01-13,Odisha,OdishaDistrict,160607,24746,3542,6843,11665,5737,501,sample_data.csv
2023-01-13,Assam,AssamDistrict,836995,25534,2755,5962,12196,5582,1794,sample_data.csv
2023-01-13,Punjab,PunjabDistrict,979617,7082,1313,1670,2843,1498,1071,sample_data.csv
2023-01-13,Chhattisgarh,ChhattisgarhDistrict,611983,22545,3621,5813,10073,4688,1971,sample_data.csv
2023-01-13,Haryana,HaryanaDistrict,223608,17028,2570,3705,8350,3621,1352,sample_data.csv
2023-01-13,Jharkhand,JharkhandDistrict,464545,16831,2177,3930,7893,3739,1269,sample_data.csv
2023-01-13,Uttarakhand,UttarakhandDistrict,652680,19644,2070,5151,8579,4786,1128,sample_data.csv
2023-01-14,Maharashtra,MaharashtraDistrict,861179,13339,2520,3781,6088,2696,774,sample_data.csv
2023-01-14,Uttar Pradesh,Uttar PradeshDistrict,130181,19136,2262,4609,8431,4419,1677,sample_data.csv
2023-01-14,Karnataka,KarnatakaDistrict,743576,9466,1318,2293,4077,2304,792,sample_data.csv
2023-01-14,Tamil Nadu,Tamil NaduDistrict,242540,9258,1169,2690,3994,2090,484,sample_data.csv
